my,phi,v0,v1,v2,v3,v4
0.2,5.65487,0.282095,0.281391,0.0977205,-0.387301,-0
0.2,5.78053,0.282095,0.23063,0.0977205,-0.419515,-0
0.2,5.90619,0.282095,0.176233,0.0977205,-0.445113,-0
0.2,6.03186,0.282095,0.119055,0.0977205,-0.463691,-0
0.2,6.15752,0.282095,0.0600009,0.0977205,-0.474956,-0
0.24,0,0.282095,-0,0.117265,-0.474322,0
0.24,0.125664,0.282095,-0.0594483,0.117265,-0.470582,0
0.24,0.251327,0.282095,-0.117959,0.117265,-0.45942,0
0.24,0.376991,0.282095,-0.17461,0.117265,-0.441014,0
0.24,0.502655,0.282095,-0.228506,0.117265,-0.415652,0
0.24,0.628319,0.282095,-0.2788,0.117265,-0.383735,0
0.24,0.753982,0.282095,-0.324696,0.117265,-0.345766,0
0.24,0.879646,0.282095,-0.365471,0.117265,-0.302344,0
0.24,1.00531,0.282095,-0.400483,0.117265,-0.254154,0
0.24,1.13097,0.282095,-0.429179,0.117265,-0.201957,0
0.24,1.25664,0.282095,-0.451107,0.117265,-0.146574,0
0.24,1.3823,0.282095,-0.465921,0.117265,-0.0888791,0
0.24,1.50796,0.282095,-0.473386,0.117265,-0.0297829,0
0.24,1.63363,0.282095,-0.473386,0.117265,0.0297829,-0
0.24,1.75929,0.282095,-0.465921,0.117265,0.0888791,-0
0.24,1.88496,0.282095,-0.451107,0.117265,0.146574,-0
0.24,2.01062,0.282095,-0.429179,0.117265,0.201957,-0
0.24,2.13628,0.282095,-0.400483,0.117265,0.254154,-0
0.24,2.26195,0.282095,-0.365471,0.117265,0.302344,-0
0.24,2.38761,0.282095,-0.324696,0.117265,0.345766,-0
0.24,2.51327,0.282095,-0.2788,0.117265,0.383735,-0
0.24,2.63894,0.282095,-0.228506,0.117265,0.415652,-0
0.24,2.7646,0.282095,-0.17461,0.117265,0.441014,-0
0.24,2.89027,0.282095,-0.117959,0.117265,0.45942,-0
0.24,3.01593,0.282095,-0.0594483,0.117265,0.470582,-0
0.24,3.14159,0.282095,1.52554e-16,0.117265,0.474322,0
0.24,3.26726,0.282095,0.0594483,0.117265,0.470582,0
0.24,3.39292,0.282095,0.117959,0.117265,0.45942,0
0.24,3.51858,0.282095,0.17461,0.117265,0.441014,0
0.24,3.64425,0.282095,0.228506,0.117265,0.415652,0
0.24,3.76991,0.282095,0.2788,0.117265,0.383735,0
0.24,3.89557,0.282095,0.324696,0.117265,0.345766,0
0.24,4.02124,0.282095,0.365471,0.117265,0.302344,0
0.24,4.1469,0.282095,0.400483,0.117265,0.254154,0
0.24,4.27257,0.282095,0.429179,0.117265,0.201957,0
0.24,4.39823,0.282095,0.451107,0.117265,0.146574,0
0.24,4.52389,0.282095,0.465921,0.117265,0.0888791,0
0.24,4.64956,0.282095,0.473386,0.117265,0.0297829,0
0.24,4.77522,0.282095,0.473386,0.117265,-0.0297829,-0
0.24,4.90088,0.282095,0.465921,0.117265,-0.0888791,-0
0.24,5.02655,0.282095,0.451107,0.117265,-0.146574,-0
0.24,5.15221,0.282095,0.429179,0.117265,-0.201957,-0
0.24,5.27788,0.282095,0.400483,0.117265,-0.254154,-0
0.24,5.40354,0.282095,0.365471,0.117265,-0.302344,-0
0.24,5.5292,0.282095,0.324696,0.117265,-0.345766,-0
0.24,5.65487,0.282095,0.2788,0.117265,-0.383735,-0
0.24,5.78053,0.282095,0.228506,0.117265,-0.415652,-0
0.24,5.90619,0.282095,0.17461,0.117265,-0.441014,-0
0.24,6.03186,0.282095,0.117959,0.117265,-0.45942,-0
0.24,6.15752,0.282095,0.0594483,0.117265,-0.470582,-0
0.28,0,0.282095,-0,0.136809,-0.469058,0
0.28,0.125664,0.282095,-0.0587886,0.136809,-0.46536,0
0.28,0.251327,0.282095,-0.11665,0.136809,-0.454322,0
0.28,0.376991,0.282095,-0.172672,0.136809,-0.436119,0
0.28,0.502655,0.282095,-0.225971,0.136809,-0.411039,0
0.28,0.628319,0.282095,-0.275706,0.136809,-0.379476,0
0.28,0.753982,0.282095,-0.321093,0.136809,-0.341929,0
0.28,0.879646,0.282095,-0.361416,0.136809,-0.298989,0
0.28,1.00531,0.282095,-0.396039,0.136809,-0.251334,0
0.28,1.13097,0.282095,-0.424417,0.136809,-0.199715,0
0.28,1.25664,0.282095,-0.446101,0.136809,-0.144947,0
0.28,1.3823,0.282095,-0.46075,0.136809,-0.0878928,0
0.28,1.50796,0.282095,-0.468133,0.136809,-0.0294524,0
0.28,1.63363,0.282095,-0.468133,0.136809,0.0294524,-0
0.28,1.75929,0.282095,-0.46075,0.136809,0.0878928,-0
0.28,1.88496,0.282095,-0.446101,0.136809,0.144947,-0
0.28,2.01062,0.282095,-0.424417,0.136809,0.199715,-0
0.28,2.13628,0.282095,-0.396039,0.136809,0.251334,-0
0.28,2.26195,0.282095,-0.361416,0.136809,0.298989,-0
0.28,2.38761,0.282095,-0.321093,0.136809,0.341929,-0
0.28,2.51327,0.282095,-0.275706,0.136809,0.379476,-0
0.28,2.63894,0.282095,-0.225971,0.136809,0.411039,-0
0.28,2.7646,0.282095,-0.172672,0.136809,0.436119,-0
0.28,2.89027,0.282095,-0.11665,0.136809,0.454322,-0
0.28,3.01593,0.282095,-0.0587886,0.136809,0.46536,-0
0.28,3.14159,0.282095,1.50861e-16,0.136809,0.469058,0
0.28,3.26726,0.282095,0.0587886,0.136809,0.46536,0
0.28,3.39292,0.282095,0.11665,0.136809,0.454322,0
0.28,3.51858,0.282095,0.172672,0.136809,0.436119,0
0.28,3.64425,0.282095,0.225971,0.136809,0.411039,0
0.28,3.76991,0.282095,0.275706,0.136809,0.379476,0
0.28,3.89557,0.282095,0.321093,0.136809,0.341929,0
0.28,4.02124,0.282095,0.361416,0.136809,0.298989,0
